neuron_label,root_id,cell_type,subtype,branch_idx,branch_order,mean_diameter_nm,total_length_nm,electrotonic_length,soma_distance_nm,synapse_count,exc_count,inh_count,exc_fraction,regime,clark_evans_raw,interval_cv_raw,pairwise_compactness_raw,clark_evans_z,interval_cv_z,pairwise_compactness_z
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,41,10,767.5,7015.405405892597,0.013869928055682648,663866.9761726018,5,1,0,1.0,0,0.7150637095803486,0.7118544652241587,0.25396220936695585,-0.3165774502549214,-0.12359618142413074,-0.8667725883009337
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,42,5,352.7857142857143,45445.7562187209,0.13252519948038216,509392.88715651893,0,0,0,,1,,,,,,
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,43,4,333.2,21340.901747481817,0.06403551362613716,497340.45992089936,0,0,0,,1,,,,,,
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,44,11,294.4590163934426,271108.0816578113,0.8653477380653946,1297410.7390359994,0,0,0,,2,,,,,,
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,45,11,302.8135593220339,90798.57761595622,0.2857932805246922,1207255.987015072,0,0,0,,2,,,,,,
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,46,10,1205.5,9251.981973593996,0.014595258723426366,654189.680041998,16,0,2,0.0,0,0.7433930692769372,0.7962097661073706,0.27556946721619746,-0.9849117664968651,-0.6384194989564204,-1.3141216742877582
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,47,10,2401.0,23007.734707017284,0.02571807203291404,661067.5564087096,64,1,4,0.2,0,0.822110281232363,0.9206704203361158,0.2791154909268576,-1.5969907150951441,-0.49011829817516245,-2.72823193132936
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,48,9,335.4,22128.050545524075,0.06617931277659211,679952.4589109197,0,0,0,,1,,,,,,
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,49,9,311.81632653061223,178340.43069180212,0.5531730493174549,758058.6489840588,1,0,0,,2,,,,,,
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,50,16,335.9612903225806,317240.0097601423,0.9479904485447371,1143268.9801026648,1,0,0,,2,,,,,,
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,51,16,343.8390804597701,156523.31863755654,0.46234062561532424,1062910.634541372,0,0,0,,2,,,,,,
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,52,6,417.7142857142857,36057.51895431865,0.09663107337696439,699692.2289755478,0,0,0,,1,,,,,,
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,53,6,359.35,70153.80454989045,0.20269966513657664,716740.3717733338,0,0,0,,2,,,,,,
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,54,11,316.13793103448273,51038.830818755385,0.15722552049888547,1203155.4449778555,0,0,0,,2,,,,,,
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,55,11,323.7647058823529,32235.298940971814,0.09812452728047215,1193753.6790389637,0,0,0,,1,,,,,,
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,56,9,342.3529411764706,27902.4702393911,0.08259737575029838,724613.9307051527,0,0,0,,1,,,,,,
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,57,9,419.77777777777777,28498.561755691786,0.07618576770714916,724911.9764633031,0,0,0,,1,,,,,,
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,58,14,702.8333333333334,18783.296697028283,0.038806660447409685,760319.3581298819,16,0,0,,0,0.7776445605228854,0.808119392832193,0.33404489421551437,-0.8301401397220796,-0.5483299926728078,0.04635086452532643
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,59,14,683.3548387096774,49592.228082151974,0.10390850852772289,775723.8238224438,42,0,0,,1,1.0319582292308975,0.7772133015370777,0.3018860914672541,0.4623432903361913,-1.3947547943768541,-1.3030125099285708
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,60,11,499.9428571428571,60559.91214030275,0.14834936096007953,697654.6349456996,48,1,2,0.3333333333333333,1,0.8363944151986307,1.1619131410854184,0.37812701231533785,-1.2526574144133715,1.5185220976937008,2.015690443138098
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,61,11,524.8,100416.54590234316,0.24008719227596165,717582.9518267198,72,0,3,0.0,2,0.9836357892027968,0.8621377570113072,0.3361159667788925,-0.02089912486344912,-1.0612324856707882,0.1543869671204051
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,62,9,357.9642857142857,99200.61999316477,0.2871806434954159,948509.3337683502,0,0,0,,2,,,,,,
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,63,9,272.8,7672.909654753972,0.025444769965264527,902745.4785991448,0,0,0,,0,,,,,,
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,64,10,406.6666666666667,51774.36580334731,0.14062292501652923,716903.6670853554,0,0,0,,1,,,,,,
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,65,10,409.3333333333333,54127.6461131487,0.14653494726012625,718080.3072402561,0,0,0,,1,,,,,,
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,66,13,542.4444444444445,28966.074562000835,0.06811968622086483,738103.7287808126,18,1,3,0.25,1,0.8761004310682371,0.9093573478392047,0.33854792892776275,-0.40349524917447405,-0.06896929394044309,0.11041843482188599
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,67,13,544.5454545454545,53401.41268852746,0.1253419089841741,750321.3978440759,52,0,6,0.0,1,0.9591865449384301,0.884284308136502,0.33099827390697456,-0.135586675282534,-0.7388871033549411,-0.09892224283948547
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,68,16,465.55555555555554,45511.08136130914,0.1155292689569981,975737.0886347733,0,0,0,,1,,,,,,
inh_NGC_864691136145537844,864691136145537844,inhibitory_NGC,NGC,69,16,416.7096774193548,291997.5500012129,0.783471209099119,1098980.3229547252,0,0,0,,2,,,,,,
